filename	comments	StepSize	DelayTime	volts	CV-tron	IonGauge	Temperature	NEON HV	PMT HV	c0	dc0	c1	dc1	s1	ds1	c2	dc2	s2	ds2	c4	dc4	s4	ds4	mag2	angle2	mag4	angle4	SSres	 R ²
/home/pi/Data/2018-04-29/POL2018-04-29_154623.dat	vac/atmo	1	30	3.990000	8.83E+02	3.82E-03	33.599998	1800.958768	-1005.816437	0.698056	0.003251	0.000197	0.002384	0.000196	0.000139	-0.002786	0.000218	-0.052490	0.000173	0.295170	0.000196	-0.047690	0.000198	0.052564	-1.623827	0.298998	-0.160184	0.004602	0.999750
/home/pi/Data/2018-04-29/POL2018-04-29_154729.dat	vac/atmo	1	30	3.990000	9.00E+02	3.82E-03	33.599998	1802.409060	-1005.816437	0.698449	0.002828	0.000198	0.002810	0.000199	0.000140	-0.002456	0.000220	-0.052476	0.000175	0.295523	0.000200	-0.047242	0.000198	0.052534	-1.617561	0.299275	-0.158517	0.004532	0.999755
/home/pi/Data/2018-04-29/POL2018-04-29_154848.dat	vac/atmo	1	30	1.010000	1.46E+00	3.82E-03	33.599998	-0.381656	-1005.511113	0.003254	-0.000014	0.000029	-0.000003	0.000030	0.000021	-0.000014	0.000029	-0.000016	0.000030	0.000111	0.000030	-0.000004	0.000029	0.000021	-2.299621	0.000111	-0.038973	0.000108	0.023558
/home/pi/Data/2018-04-29/POL2018-04-29_155005.dat	vac/atmo	1	30	3.990000	2.92E-01	3.82E-03	33.599998	1799.432144	-1005.358450	0.692113	0.001623	0.000198	-0.001221	0.000194	0.000139	-0.003585	0.000218	-0.053273	0.000172	0.291819	0.000197	-0.048338	0.000195	0.053393	-1.637986	0.295796	-0.164155	0.006712	0.999629
/home/pi/Data/2018-04-29/POL2018-04-29_155121.dat	vac/atmo	1	30	3.990000	2.32E-01	3.82E-03	33.599998	1803.554028	-1005.740106	0.697342	0.002250	0.000199	0.002364	0.000198	0.000141	-0.002835	0.000218	-0.052501	0.000177	0.294694	0.000198	-0.047440	0.000199	0.052577	-1.624741	0.298488	-0.159611	0.003964	0.999784
/home/pi/Data/2018-04-29/POL2018-04-29_155238.dat	vac/atmo	1	30	3.990000	2.03E-01	3.82E-03	33.700001	1802.180067	-1005.892769	0.697911	0.002748	0.000197	0.002147	0.000194	0.000138	-0.003082	0.000216	-0.052069	0.000172	0.294639	0.000197	-0.047525	0.000194	0.052160	-1.629914	0.298447	-0.159923	0.004207	0.999771
/home/pi/Data/2018-04-29/POL2018-04-29_155355.dat	vac/atmo	1	30	3.990000	1.85E-01	3.82E-03	33.599998	1803.630359	-1005.816437	0.698187	0.002649	0.000191	0.002807	0.000200	0.000139	-0.002529	0.000216	-0.052000	0.000174	0.295024	0.000196	-0.046834	0.000195	0.052061	-1.619396	0.298718	-0.157434	0.004217	0.999771
/home/pi/Data/2018-04-29/POL2018-04-29_155512.dat	vac/atmo	1	30	3.990000	1.65E-01	3.82E-03	33.700001	1801.722080	-1004.518807	0.698104	0.002841	0.000193	0.002697	0.000198	0.000139	-0.002381	0.000217	-0.052317	0.000172	0.294429	0.000199	-0.047806	0.000193	0.052371	-1.616272	0.298285	-0.160965	0.004313	0.999765
/home/pi/Data/2018-04-29/POL2018-04-29_155632.dat	vac/atmo	1	30	1.000000	8.83E+02	3.82E-03	33.700001	-0.457987	-1004.976794	0.003087	-0.000103	0.000029	0.000097	0.000029	0.000021	0.000000	0.000030	0.000080	0.000029	0.000020	0.000029	0.000008	0.000030	0.000080	1.564844	0.000022	0.392300	0.000156	0.033602
/home/pi/Data/2018-04-29/POL2018-04-29_155739.dat	vac/atmo	1	30	3.990000	8.83E+02	3.82E-03	33.700001	1794.623278	-1005.511113	0.689266	-0.000010	0.000192	-0.001852	0.000197	0.000137	-0.004163	0.000215	-0.054632	0.000171	0.290213	0.000194	-0.048997	0.000194	0.054791	-1.646857	0.294320	-0.167254	0.014123	0.999213
